user_id,n_bets,total_stake,avg_stake,max_stake,win_rate,total_gain,total_ggr,avg_odds,pct_multiple,max_losing_streak,risk_score,risk_profile
1,22,776.3,35.28636363636363,65.2,0.3181818181818182,688.01,88.28999999999999,5.799090909090909,0.2727272727272727,3,-2.013971320294705,baixo
2,14,70.75,5.053571428571429,8.4,0.14285714285714285,11.06,59.69,4.4471428571428575,0.5,6,-0.6129889213039097,medio
3,21,1785.25,85.01190476190476,122.3,0.47619047619047616,2817.67,-1032.42,4.459047619047619,0.47619047619047616,4,-0.17440429894818,medio
4,10,139.15,13.915000000000001,24.2,0.1,22.07,117.08,5.8660000000000005,0.3,6,-3.261769136168655,baixo
5,25,329.45,13.177999999999999,23.6,0.44,849.05,-519.6,5.0644,0.32,5,-0.5005530153470075,medio
6,23,3733.0,162.30434782608697,246.3,0.21739130434782608,2100.98,1632.02,4.429565217391304,0.2608695652173913,9,2.4382411967293143,alto
7,16,162.8,10.175,20.7,0.4375,215.65,-52.85,3.835,0.25,5,-2.935023784205378,baixo
8,14,476.95,34.06785714285714,65.35,0.42857142857142855,490.21000000000004,-13.260000000000002,3.7107142857142854,0.2857142857142857,2,-4.189214378826838,baixo
9,22,3737.3,169.87727272727273,231.8,0.5454545454545454,3704.6,32.70000000000002,2.1695454545454544,0.2727272727272727,2,-1.5565888652377748,baixo
10,17,78.25,4.602941176470588,9.55,0.4117647058823529,71.35,6.900000000000004,3.834117647058824,0.35294117647058826,3,-2.649143174443194,baixo
11,22,3655.8,166.1727272727273,237.75,0.3181818181818182,2114.1400000000003,1541.66,5.245454545454546,0.45454545454545453,5,2.2172672811713046,alto
12,19,610.1,32.11052631578948,66.65,0.3684210526315789,399.55,210.55,4.61421052631579,0.47368421052631576,6,0.5311000390471858,medio
13,16,1362.0,85.125,123.75,0.5,1483.83,-121.82999999999998,5.109375,0.25,3,-3.3360222691188373,baixo
14,18,3202.65,177.925,239.45,0.6111111111111112,4574.29,-1371.6399999999999,4.403888888888889,0.4444444444444444,3,-1.1197016246289906,medio
15,16,2744.0,171.5,246.05,0.4375,3242.9100000000003,-498.90999999999985,3.1481250000000003,0.4375,4,-0.7719994199322143,medio
16,20,7129.25,356.4625,488.95,0.35,8272.050000000001,-1142.7999999999997,6.677,0.55,6,2.9744237113042074,alto
17,19,282.7,14.878947368421052,24.6,0.42105263157894735,259.6,23.100000000000012,7.341052631578947,0.2631578947368421,7,-1.1881022745335075,medio
18,18,3038.2,168.7888888888889,249.45,0.2777777777777778,1241.81,1796.39,4.6883333333333335,0.4444444444444444,7,2.2620819716893834,alto
19,11,7968.3,724.3909090909091,989.45,0.5454545454545454,15579.95,-7611.650000000001,4.327272727272727,0.18181818181818182,3,-4.660177143750378,baixo
20,21,221.9,10.566666666666666,22.15,0.3333333333333333,288.52,-66.62,3.439047619047619,0.23809523809523808,8,-0.6081515944379683,medio
21,19,6983.55,367.55526315789473,473.85,0.6842105263157895,8516.68,-1533.13,4.4478947368421045,0.5263157894736842,3,1.079940686168622,alto
22,24,2065.55,86.06458333333335,123.6,0.375,1653.2,412.34999999999997,4.515416666666667,0.4166666666666667,5,1.164105131139138,alto
23,21,3321.6,158.17142857142858,214.9,0.3333333333333333,1751.8700000000001,1569.73,5.543333333333333,0.3333333333333333,5,0.8353328476782242,alto
24,21,1838.8,87.56190476190476,123.55,0.19047619047619047,702.21,1136.59,4.953333333333333,0.3333333333333333,14,4.081980431424499,alto
25,13,462.1,35.54615384615385,67.15,0.3076923076923077,184.45000000000002,277.65,3.644615384615385,0.23076923076923078,7,-2.5533262109910595,baixo
26,13,146.85,11.296153846153846,21.75,0.23076923076923078,97.75,49.1,4.6523076923076925,0.5384615384615384,5,-0.8853533254195529,medio
27,20,3603.55,180.1775,247.65,0.25,1952.89,1650.66,5.451,0.5,6,2.7830954909599623,alto
28,16,5958.45,372.403125,489.65,0.4375,5706.29,252.15999999999988,4.9037500000000005,0.1875,4,-1.2940140266960591,baixo
29,22,84.7,3.85,8.8,0.2727272727272727,84.87,-0.16999999999999993,6.412272727272727,0.36363636363636365,8,0.7625204731461181,alto
30,22,3728.85,169.49318181818182,247.4,0.3181818181818182,2599.84,1129.01,4.057272727272728,0.5909090909090909,7,4.159013381690124,alto
31,29,1070.8,36.92413793103448,65.55,0.3793103448275862,874.65,196.14999999999998,3.9441379310344824,0.3103448275862069,6,1.290823866841336,alto
32,15,2177.8,145.18666666666667,237.6,0.2,2023.15,154.65,3.1726666666666667,0.2,6,-2.139310456285974,baixo
33,19,6721.35,353.7552631578948,483.0,0.3157894736842105,6892.01,-170.66000000000003,4.409473684210527,0.3684210526315789,3,0.252853192940641,medio
34,23,2002.55,87.06739130434782,123.95,0.43478260869565216,1812.37,190.1800000000001,3.941304347826087,0.391304347826087,3,-0.2856562529803399,medio
35,18,1403.15,77.95277777777778,124.7,0.4444444444444444,903.78,499.37,4.749444444444445,0.2222222222222222,3,-2.863438920612959,baixo
36,25,890.75,35.63,68.55,0.4,905.9,-15.150000000000006,5.0336,0.32,10,2.1239763479783966,alto
37,16,605.8,37.8625,60.55,0.25,225.46999999999997,380.33,4.46375,0.375,4,-1.8018513495047097,baixo
38,19,11615.4,611.3368421052631,888.65,0.21052631578947367,12016.29,-400.8899999999999,5.38578947368421,0.42105263157894735,8,4.592290991626742,alto
39,20,645.85,32.292500000000004,59.25,0.35,404.28999999999996,241.56,4.566,0.45,5,0.11411267873398911,medio
40,17,2443.6,143.74117647058824,242.45,0.4117647058823529,2297.33,146.26999999999998,3.4794117647058824,0.47058823529411764,5,0.3490595089850079,medio
41,22,1766.2,80.28181818181818,123.55,0.5454545454545454,1843.06,-76.86,3.232727272727273,0.4090909090909091,3,-0.5343200126277831,medio
42,22,14911.2,677.7818181818183,954.05,0.4090909090909091,15133.35,-222.1500000000001,4.622272727272727,0.36363636363636365,4,3.526267003583552,alto
43,19,719.4,37.863157894736844,63.2,0.3157894736842105,344.40999999999997,374.99,4.658947368421052,0.10526315789473684,6,-2.7390768436786863,baixo
44,19,1565.4,82.38947368421053,124.9,0.47368421052631576,1666.3,-100.90000000000002,3.8410526315789477,0.2631578947368421,5,-1.669589916935339,baixo
45,22,3362.2,152.8272727272727,228.15,0.45454545454545453,4772.99,-1410.7899999999997,4.872272727272727,0.45454545454545453,5,0.5565887475095315,medio
46,22,110.05,5.002272727272727,9.85,0.45454545454545453,158.46,-48.410000000000004,5.503181818181818,0.4090909090909091,5,-0.15712688931924013,medio
47,23,3711.6,161.37391304347827,233.15,0.17391304347826086,1057.8799999999999,2653.72,4.509565217391304,0.30434782608695654,7,2.49487821412491,alto
48,14,1079.55,77.11071428571428,121.65,0.5,1969.72,-890.1700000000001,3.687142857142857,0.42857142857142855,2,-3.0413209861940276,baixo
49,19,1677.35,88.28157894736842,123.4,0.3157894736842105,735.61,941.74,4.0063157894736845,0.2631578947368421,3,-1.9557317712967661,baixo
50,22,884.6,40.20909090909091,69.15,0.5454545454545454,594.94,289.65999999999997,3.235,0.4090909090909091,6,0.7054252759397832,medio
51,24,4379.9,182.4958333333333,241.65,0.2916666666666667,2624.74,1755.16,3.7829166666666665,0.08333333333333333,7,0.34904327855140194,medio
52,15,1114.8,74.32,121.05,0.26666666666666666,984.9100000000001,129.88999999999996,4.640666666666666,0.4,5,-1.2368890622843478,baixo
